,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
95,3367,"Yukon-Koyukuk Census Area, AK",1281,2016,02,290,23,1266
96,49502,"Apache County, AZ",12002,2016,04,001,33.2,23966
97,83916,"Cochise County, AZ",9801,2016,04,003,21.1,25424
98,98057,"Coconino County, AZ",15639,2016,04,005,17.8,23116
99,32440,"Gila County, AZ",5448,2016,04,007,20.3,10678
100,26502,"Graham County, AZ",3025,2016,04,009,22.9,7854
101,7713,"Greenlee County, AZ",703,2016,04,011,12,1144
102,9899,"La Paz County, AZ",2420,2016,04,012,24.8,4976
103,3145162,"Maricopa County, AZ",418740,2016,04,013,15,624923
104,124670,"Mohave County, AZ",17171,2016,04,015,18.3,36665
105,76396,"Navajo County, AZ",12345,2016,04,017,28.2,30379
106,712822,"Pima County, AZ",88068,2016,04,019,18.2,180513
107,275491,"Pinal County, AZ",35200,2016,04,021,15.4,60679
108,31915,"Santa Cruz County, AZ",5598,2016,04,023,20.9,9569
109,135092,"Yavapai County, AZ",19797,2016,04,025,13.3,29418
110,133781,"Yuma County, AZ",23862,2016,04,027,19.3,37850
111,13300,"Arkansas County, AR",1300,2016,05,001,18.1,3237
112,14930,"Ashley County, AR",1321,2016,05,003,17.9,3636
113,25905,"Baxter County, AR",2408,2016,05,005,12.7,5144
114,202554,"Benton County, AR",22490,2016,05,007,9.1,23131
115,26899,"Boone County, AR",2501,2016,05,009,15.4,5670
116,7734,"Bradley County, AR",1010,2016,05,011,23.5,2544
117,3547,"Calhoun County, AR",335,2016,05,013,17.1,847
118,18244,"Carroll County, AR",2967,2016,05,015,17.2,4684
119,7235,"Chicot County, AR",757,2016,05,017,30.1,3066
120,14798,"Clark County, AR",1371,2016,05,019,22.3,4406
121,10470,"Clay County, AR",1030,2016,05,021,19.1,2807
122,16744,"Cleburne County, AR",1774,2016,05,023,16.3,4047
123,6117,"Cleveland County, AR",509,2016,05,025,15.8,1295
124,16550,"Columbia County, AR",1627,2016,05,027,24.2,5330
125,15298,"Conway County, AR",1470,2016,05,029,18.9,3903
126,79935,"Craighead County, AR",8402,2016,05,031,16.2,16548
127,46784,"Crawford County, AR",5088,2016,05,033,16.8,10322
128,38589,"Crittenden County, AR",3019,2016,05,035,25.5,12314
129,12588,"Cross County, AR",1169,2016,05,037,19.4,3252
130,5041,"Dallas County, AR",442,2016,05,039,20.8,1464
131,8630,"Desha County, AR",903,2016,05,041,26.5,3125
132,13267,"Drew County, AR",1371,2016,05,043,19.2,3387
133,95488,"Faulkner County, AR",8558,2016,05,045,16,18782
134,12866,"Franklin County, AR",1367,2016,05,047,17.9,3103
135,7999,"Fulton County, AR",809,2016,05,049,23.2,2767
136,66835,"Garland County, AR",7596,2016,05,051,17.8,17037
137,13980,"Grant County, AR",1005,2016,05,053,11.5,2062
138,34396,"Greene County, AR",2970,2016,05,055,15.3,6709
139,15950,"Hempstead County, AR",1951,2016,05,057,20.7,4483
140,23188,"Hot Spring County, AR",1962,2016,05,059,14.7,4541
141,9576,"Howard County, AR",1301,2016,05,061,18.7,2455
142,27090,"Independence County, AR",2818,2016,05,063,15.9,5727
143,8089,"Izard County, AR",1040,2016,05,065,20.1,2492
144,10925,"Jackson County, AR",1089,2016,05,067,24.1,3587
145,49374,"Jefferson County, AR",4002,2016,05,069,23.3,15094
146,18646,"Johnson County, AR",2575,2016,05,071,18.4,4699
147,4648,"Lafayette County, AR",522,2016,05,073,27.4,1838
148,11809,"Lawrence County, AR",1066,2016,05,075,20,3207
149,5310,"Lee County, AR",514,2016,05,077,35.9,2701
150,7158,"Lincoln County, AR",849,2016,05,079,27.6,2726
151,8960,"Little River County, AR",862,2016,05,081,17.5,2148
152,15667,"Logan County, AR",1485,2016,05,083,18.2,3867
153,57935,"Lonoke County, AR",4793,2016,05,085,12.4,8881
154,11304,"Madison County, AR",1685,2016,05,087,18.3,2910
155,10540,"Marion County, AR",1115,2016,05,089,20.7,3342
156,32578,"Miller County, AR",2992,2016,05,091,22.4,9504
157,32703,"Mississippi County, AR",3061,2016,05,093,24.6,10307
158,4943,"Monroe County, AR",518,2016,05,095,27,1909
159,5720,"Montgomery County, AR",722,2016,05,097,22.4,1956
160,6010,"Nevada County, AR",543,2016,05,099,20.4,1680
161,5224,"Newton County, AR",580,2016,05,101,19.9,1566
162,17669,"Ouachita County, AR",1382,2016,05,103,24.7,5849
163,7410,"Perry County, AR",802,2016,05,105,16.9,1689
164,13937,"Phillips County, AR",1260,2016,05,107,32.3,6042
165,7465,"Pike County, AR",1097,2016,05,109,18.2,1927
166,17589,"Poinsett County, AR",1822,2016,05,111,22.7,5352
167,13597,"Polk County, AR",1878,2016,05,113,23.4,4660
168,45678,"Pope County, AR",5014,2016,05,115,17.5,10433
169,5615,"Prairie County, AR",670,2016,05,117,17.8,1441
170,303275,"Pulaski County, AR",26186,2016,05,119,17.2,66302
171,12355,"Randolph County, AR",1230,2016,05,121,18.9,3229
172,16396,"St. Francis County, AR",1652,2016,05,123,31.6,6973
173,91415,"Saline County, AR",6225,2016,05,125,8.7,10160
